
2026-02-24 23:19:37,325 - __main__ - INFO - Waiting for start time: 09:30 (Session: AM)
2026-02-25 03:56:06,959 - __main__ - INFO - Waiting for start time: 12:30 (Session: PM)
2026-02-25 03:56:06,959 - __main__ - INFO - PM session starting. Setting active flag for 2026-02-25.
2026-02-25 23:18:35,521 - __main__ - INFO - Waiting for start time: 09:30 (Session: AM)
2026-02-26 00:30:36,968 - position_manager - INFO - Position Added: 3103.T (LONG) SL=1584.6, TP1=1659.2
2026-02-26 00:30:37,186 - position_manager - INFO - Position Added: 5801.T (LONG) SL=28119.4, TP1=28483.2
2026-02-26 00:30:37,564 - position_manager - INFO - Position Added: 5016.T (LONG) SL=4259.1, TP1=4348.6
2026-02-26 00:31:08,185 - position_manager - INFO - Position Added: 6227.T (LONG) SL=22882.4, TP1=23948.2
2026-02-26 00:32:09,535 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:32:10,229 - position_manager - INFO - Position Added: 3103.T (LONG) SL=1596.8, TP1=1675.8
2026-02-26 00:32:12,493 - position_manager - INFO - Position Added: 5801.T (LONG) SL=28050.6, TP1=28437.0
2026-02-26 00:32:42,570 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:33:13,272 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:33:43,760 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:34:14,563 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:34:15,296 - position_manager - INFO - Position Added: 5706.T (LONG) SL=36733.4, TP1=37432.9
2026-02-26 00:34:45,315 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:34:45,925 - position_manager - INFO - Position Added: 5801.T (LONG) SL=27956.7, TP1=28366.3
2026-02-26 00:35:16,146 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:35:16,839 - position_manager - INFO - Position Added: 5016.T (LONG) SL=4267.8, TP1=4359.2
2026-02-26 00:35:46,840 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:36:17,554 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:36:48,190 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:37:18,692 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:37:49,380 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:37:49,973 - position_manager - INFO - Position Added: 3103.T (LONG) SL=1573.4, TP1=1655.2
2026-02-26 00:38:20,105 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:38:50,968 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:38:51,590 - position_manager - INFO - Position Added: 5706.T (LONG) SL=36509.7, TP1=37231.7
2026-02-26 00:38:51,805 - position_manager - INFO - Position Added: 5016.T (LONG) SL=4211.5, TP1=4310.6
2026-02-26 00:39:21,805 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:39:52,300 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:40:22,784 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:40:53,591 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:41:24,324 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:41:25,117 - position_manager - INFO - Position Added: 5706.T (LONG) SL=36629.2, TP1=37353.9
2026-02-26 00:41:55,136 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:42:25,646 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:42:56,102 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:43:26,568 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:43:57,097 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:44:27,570 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:44:28,247 - position_manager - INFO - Position Added: 5801.T (LONG) SL=27925.4, TP1=28402.9
2026-02-26 00:44:58,324 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:45:28,784 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:45:59,263 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:46:29,769 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:47:00,476 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:47:30,974 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:48:01,654 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:48:32,145 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:49:02,630 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:49:33,154 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:50:03,634 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:50:34,111 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:51:04,582 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:51:35,236 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:51:36,033 - position_manager - INFO - Position Added: 5016.T (LONG) SL=4169.9, TP1=4272.4
2026-02-26 00:52:06,034 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:52:06,663 - position_manager - INFO - Position Added: 5706.T (LONG) SL=36288.0, TP1=37080.2
2026-02-26 00:52:36,866 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:52:37,425 - position_manager - INFO - Position Added: 3103.T (LONG) SL=1573.8, TP1=1653.0
2026-02-26 00:52:37,703 - position_manager - INFO - Position Added: 5016.T (LONG) SL=4160.7, TP1=4264.5
2026-02-26 00:53:07,704 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:53:38,220 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:54:08,873 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:54:39,407 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:55:10,112 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:55:40,567 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:56:11,047 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:56:41,566 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:56:42,109 - position_manager - INFO - Position Added: 3103.T (LONG) SL=1572.0, TP1=1649.8
2026-02-26 00:57:12,241 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:57:42,769 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:58:13,247 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:58:43,741 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:59:14,243 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 00:59:44,728 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:00:15,235 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:00:45,713 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:01:16,162 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:01:47,002 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:01:47,636 - position_manager - INFO - Position Added: 5016.T (LONG) SL=4147.5, TP1=4246.7
2026-02-26 01:02:17,636 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

