ticker,side,entry_price,entry_time,exit_price,exit_time,exit_reason,tp1_hit,tp1_profit,final_profit,total_profit
3110.T,LONG,21010.0,2026-02-17T04:50:01.892176,21010.0,2026-02-17T04:55:18.948792,TRAILING_EXIT,True,1.003654762068007,0.0,0.5018273810340035
5713.T,LONG,9609.0,2026-02-18T03:54:13.085691,9657.769106426998,2026-02-18T03:58:19.850391,TRAILING_EXIT,True,0.6124085790353062,0.5075357105525979,0.5599721447939521
6590.T,LONG,25850.0,2026-02-18T03:52:09.544435,25694.837668564098,2026-02-18T04:57:55.653104,SL,False,0.0,-0.600241127411616,-0.600241127411616
3103.T,LONG,1794.0,2026-02-18T02:38:09.181445,1546.5794177541904,2026-02-19T00:30:13.604143,SL,False,0.0,-13.791559768439775,-13.791559768439775
5713.T,LONG,9690.0,2026-02-18T04:01:25.236817,9861.448711558198,2026-02-19T00:33:19.710134,TRAILING_EXIT,True,0.6659522504136373,1.7693365485882184,1.2176443995009278
7012.T,LONG,17845.0,2026-02-20T04:30:44.780988,17910.0,2026-02-20T05:55:53.266344,15:00強制決済,False,0.0,0.36424768842813204,0.36424768842813204
3103.T,LONG,1238.0,1183.0,2026-02-24T00:17:07.665969,STOP_LOSS,-4.442649434571888,Monthly
6330.T,SHORT,2767.0,2804.0,2026-02-24T02:07:32.123976,STOP_LOSS,-1.3371882905673926,Weekly
485A.T,LONG,3760.0,3730.0,2026-02-24T03:51:50.437597,STOP_LOSS,-0.7978723404255317,Monthly
6330.T,SHORT,2805.0,2841.0,2026-02-24T03:54:52.829361,STOP_LOSS,-1.2834224598930577,Weekly
5706.T,LONG,31180.0,2026-02-23T23:07:08.420520,33130.0,2026-02-24T06:54:54.032618,時間切れ強制決済,True,0.0,6.254008980115455,6.254008980115455
6330.T,SHORT,2838.0,2026-02-24T03:55:54.161318,2927.0,2026-02-24T06:54:54.032959,時間切れ強制決済,True,0.0,-3.136011275546169,-3.136011275546169
3103.T,LONG,1597.0,2026-02-26T09:30:36.967513+09:00,1583.0,2026-02-26T09:31:38.901071+09:00,STOP_LOSS,False,0.0,-0.8766437069505306,-0.8766437069505306,Monthly
5801.T,LONG,28180.0,2026-02-26T09:30:37.186135+09:00,28075.0,2026-02-26T09:31:39.339571+09:00,STOP_LOSS,False,0.0,-0.3726046841731723,-0.3726046841731723,Monthly
6227.T,LONG,23060.0,2026-02-26T09:31:08.185056+09:00,22880.0,2026-02-26T09:32:10.248643+09:00,STOP_LOSS,False,0.0,-0.7805724197745056,-0.7805724197745056,Weekly
5801.T,LONG,28115.0,2026-02-26T09:32:12.493538+09:00,28050.0,2026-02-26T09:32:42.995150+09:00,STOP_LOSS,False,0.0,-0.23119331317802416,-0.23119331317802416,Monthly
5016.T,LONG,4274.0,2026-02-26T09:30:37.563970+09:00,4246.0,2026-02-26T09:34:46.000796+09:00,STOP_LOSS,False,0.0,-0.6551240056153484,-0.6551240056153484,Weekly
5801.T,LONG,28025.0,2026-02-26T09:34:45.925085+09:00,27910.0,2026-02-26T09:35:47.259517+09:00,STOP_LOSS,False,0.0,-0.41034790365744866,-0.41034790365744866,Monthly
3103.T,LONG,1610.0,2026-02-26T09:32:10.229399+09:00,1591.0,2026-02-26T09:37:19.050570+09:00,STOP_LOSS,False,0.0,-1.1801242236024856,-1.1801242236024856,Monthly
5706.T,LONG,36850.0,2026-02-26T09:34:15.295738+09:00,36710.0,2026-02-26T09:38:20.553854+09:00,STOP_LOSS,False,0.0,-0.3799185888738177,-0.3799185888738177,Monthly
5016.T,LONG,4283.0,2026-02-26T09:35:16.839289+09:00,4249.0,2026-02-26T09:38:20.792520+09:00,STOP_LOSS,False,0.0,-0.7938360961942559,-0.7938360961942559,Weekly
3103.T,LONG,1587.0,2026-02-26T09:37:49.972807+09:00,1573.0,2026-02-26T09:40:23.149209+09:00,STOP_LOSS,False,0.0,-0.8821676118462518,-0.8821676118462518,Monthly
